cifar10_seed_100_num_layers=2, num_recurrence=0, num_channels=8, test_acc=0.555, test_noisy_acc=0.2895, test_masked_acc=0.410cicifar10_seed_100_num_layers=2, num_recurrence=0, num_channels=16, test_acc=0.5161, test_noisy_acc=0.3613, test_masked_acc=0.3cifacifar10_seed_100_num_layers=2, num_recurrence=0, num_channels=24, test_acc=0.553, test_noisy_acc=0.3672, test_masked_acc=0.cifarcifar10_seed_100_num_layers=2, num_recurrence=1, num_channels=8, test_acc=0.4871, test_noisy_acc=0.3861, test_masked_acc=0.3957
cifar10_seed_100_num_layers=2, num_recurrence=1, num_channels=16, test_acc=0.5177, test_noisy_acc=0.272, test_masked_acc=0.3949
cifar10_seed_100_num_layers=2, num_recurrence=1, num_channels=24, test_acc=0.5026, test_noisy_acc=0.3624, test_masked_acc=0.3319
cifar10_seed_100_num_layers=2, num_recurrence=2, num_channels=8, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=2, num_recurrence=2, num_channels=16, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=2, num_recurrence=2, num_channels=24, test_acc=0.4568, test_noisy_acc=0.3608, test_masked_acc=0.3174
cifar10_seed_100_num_layers=3, num_recurrence=0, num_channels=8, test_acc=0.5208, test_noisy_acc=0.2936, test_masked_acc=0.3875
cifar10_seed_100_num_layers=3, num_recurrence=0, num_channels=16, test_acc=0.4932, test_noisy_acc=0.2488, test_masked_acc=0.3539
cifar10_seed_100_num_layers=3, num_recurrence=0, num_channels=24, test_acc=0.5358, test_noisy_acc=0.3677, test_masked_acc=0.3689
cifar10_seed_100_num_layers=3, num_recurrence=1, num_channels=8, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=3, num_recurrence=1, num_channels=16, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=3, num_recurrence=1, num_channels=24, test_acc=0.4325, test_noisy_acc=0.3182, test_masked_acc=0.2855
cifar10_seed_100_num_layers=3, num_recurrence=2, num_channels=8, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=3, num_recurrence=2, num_channels=16, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=3, num_recurrence=2, num_channels=24, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=4, num_recurrence=0, num_channels=8, test_acc=0.5117, test_noisy_acc=0.3809, test_masked_acc=0.3979
cifar10_seed_100_num_layers=4, num_recurrence=0, num_channels=16, test_acc=0.4293, test_noisy_acc=0.2752, test_masked_acc=0.3271
cifar10_seed_100_num_layers=4, num_recurrence=0, num_channels=24, test_acc=0.5059, test_noisy_acc=0.3737, test_masked_acc=0.3416
cifar10_seed_100_num_layers=4, num_recurrence=1, num_channels=8, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=4, num_recurrence=1, num_channels=16, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=4, num_recurrence=1, num_channels=24, test_acc=0.4504, test_noisy_acc=0.355, test_masked_acc=0.3127
cifar10_seed_100_num_layers=4, num_recurrence=2, num_channels=8, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=4, num_recurrence=2, num_channels=16, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
cifar10_seed_100_num_layers=4, num_recurrence=2, num_channels=24, test_acc=0.1, test_noisy_acc=0.1, test_masked_acc=0.1
dict_keys(['losses', 'test_accs', 'test_noisy_accs', 'test_masked_accs', 'test_left_masked_accs', 'test_gaussian_blur_accs'])

dict_keys(['losses', 'test_accs', 'test_noisy_accs', 'test_masked_accs', 'test_left_masked_accs', 'test_gaussian_blur_accs'])
